,Country Name,Country Code,Year,Life Expectancy
161,Russian Federation,RUS,1990,68.88609756
162,Rwanda,RWA,1990,47.763
163,Samoa,WSM,1990,67.808
164,San Marino,SMR,1990,77.783
165,Sao Tome and Principe,STP,1990,60.707
166,Saudi Arabia,SAU,1990,68.874
167,Senegal,SEN,1990,56.674
168,Serbia,SRB,1990,72.15526829
169,Seychelles,SYC,1990,68.10731707
170,Sierra Leone,SLE,1990,43.72
171,Singapore,SGP,1990,75.29512195
172,Sint Maarten (Dutch part),SXM,1990,72.414
173,Slovak Republic,SVK,1990,70.93268293
174,Slovenia,SVN,1990,73.20487805
175,Solomon Islands,SLB,1990,66.194
176,"Somalia, Fed. Rep.",SOM,1990,46.896
177,South Africa,ZAF,1990,62.942
178,South Sudan,SSD,1990,28.628
179,Spain,ESP,1990,76.83756098
180,Sri Lanka,LKA,1990,69.239
181,St. Kitts and Nevis,KNA,1990,65.641
182,St. Lucia,LCA,1990,70.008
183,St. Martin (French part),MAF,1990,74.565
184,St. Vincent and the Grenadines,VCT,1990,70.647
185,Sudan,SDN,1990,55.497
186,Suriname,SUR,1990,62.088
187,Sweden,SWE,1990,77.53682927
188,Switzerland,CHE,1990,77.24243902
189,Syrian Arab Republic,SYR,1990,69.83
190,Tajikistan,TJK,1990,61.636
191,Tanzania,TZA,1990,51.985
192,Thailand,THA,1990,68.924
193,Timor-Leste,TLS,1990,45.185
194,Togo,TGO,1990,54.566
195,Tonga,TON,1990,67.539
196,Trinidad and Tobago,TTO,1990,67.591
197,Tunisia,TUN,1990,69.092
198,Turkiye,TUR,1990,67.835
199,Turkmenistan,TKM,1990,63.867
200,Turks and Caicos Islands,TCA,1990,70.218
201,Tuvalu,TUV,1990,61.643
202,Uganda,UGA,1990,47.561
203,Ukraine,UKR,1990,70.354
204,United Arab Emirates,ARE,1990,71.074
205,United Kingdom,GBR,1990,75.8804878
206,United States,USA,1990,75.21463415
207,Uruguay,URY,1990,72.994
208,Uzbekistan,UZB,1990,65.772
209,Vanuatu,VUT,1990,66.684
210,"Venezuela, RB",VEN,1990,70.964
211,Viet Nam,VNM,1990,69.027
212,Virgin Islands (U.S.),VIR,1990,70.67997561
213,West Bank and Gaza,PSE,1990,67.803
214,"Yemen, Rep.",YEM,1990,58.528
215,Zambia,ZMB,1990,48.204
216,Zimbabwe,ZWE,1990,58.319
217,Africa Eastern and Southern,AFE,1990,51.09632645
218,Africa Western and Central,AFW,1990,48.45115887
219,Arab World,ARB,1990,62.75597273
220,Caribbean small states,CSS,1990,67.04515051
221,Central Europe and the Baltics,CEB,1990,70.65633134
222,Early-demographic dividend,EAR,1990,60.63832613
223,East Asia & Pacific,EAS,1990,68.28254926
224,East Asia & Pacific (excluding high income),EAP,1990,67.15058425
225,East Asia & Pacific (IDA & IBRD countries),TEA,1990,67.10594182
226,Euro area,EMU,1990,75.70557501
227,Europe & Central Asia,ECS,1990,72.19438766
228,Europe & Central Asia (excluding high income),ECA,1990,68.20788504
229,Europe & Central Asia (IDA & IBRD countries),TEC,1990,68.87384724
230,European Union,EUU,1990,74.70253996
231,Heavily indebted poor countries (HIPC),HPC,1990,49.66901191
232,High income,HIC,1990,74.47387326
233,IBRD only,IBD,1990,65.10827213
234,IDA & IBRD total,IBT,1990,62.77326359
235,IDA blend,IDB,1990,54.96649734
236,IDA only,IDX,1990,52.81022915
237,IDA total,IDA,1990,53.55053295
238,Late-demographic dividend,LTE,1990,68.24311406
239,Latin America & Caribbean,LCN,1990,67.50660519
240,Latin America & Caribbean (excluding high income),LAC,1990,67.12894307
241,Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,67.29804321
242,Least developed countries: UN classification,LDC,1990,51.03906841
243,Low & middle income,LMY,1990,62.41917184
244,Low income,LIC,1990,50.22431207
245,Lower middle income,LMC,1990,57.68607072
246,"Middle East, North Africa, Afghanistan & Pakistan",MEA,1990,62.40643404
247,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1990,61.86242007
248,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1990,61.8297162
249,Middle income,MIC,1990,63.33972087
250,North America,NAC,1990,75.4361985
251,Not classified,INX,1990,..
252,OECD members,OED,1990,74.53856707
253,Other small states,OSS,1990,65.02471238
254,Pacific island small states,PSS,1990,65.40796957
255,Post-demographic dividend,PST,1990,75.47399173
256,Pre-demographic dividend,PRE,1990,48.93073102
257,Small states,SST,1990,65.58557398
258,South Asia,SAS,1990,58.40661538
259,South Asia (IDA & IBRD),TSA,1990,58.40661538
260,Sub-Saharan Africa,SSF,1990,50.03384614
261,Sub-Saharan Africa (excluding high income),SSA,1990,50.03143477
262,Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,50.03384614
263,Upper middle income,UMC,1990,67.34264635
264,World,WLD,1990,65.10855642
265,Afghanistan,AFG,2000,55.005
266,Albania,ALB,2000,74.826
267,Algeria,DZA,2000,70.576
268,American Samoa,ASM,2000,71.443
269,Andorra,AND,2000,81.863
270,Angola,AGO,2000,46.501
271,Antigua and Barbuda,ATG,2000,74.819
272,Argentina,ARG,2000,73.91
273,Armenia,ARM,2000,72.8804878
274,Aruba,ABW,2000,72.939
275,Australia,AUS,2000,79.23414634
276,Austria,AUT,2000,78.12682927
277,Azerbaijan,AZE,2000,65.377
278,"Bahamas, The",BHS,2000,72.481
279,Bahrain,BHR,2000,74.673
280,Bangladesh,BGD,2000,62.049
281,Barbados,BRB,2000,74.58
282,Belarus,BLR,2000,68.91219512
283,Belgium,BEL,2000,77.72195122
284,Belize,BLZ,2000,68.911
285,Benin,BEN,2000,56.594
286,Bermuda,BMU,2000,78.251
287,Bhutan,BTN,2000,61.842
288,Bolivia,BOL,2000,62.057
289,Bosnia and Herzegovina,BIH,2000,75.292
290,Botswana,BWA,2000,52.263
291,Brazil,BRA,2000,69.584
292,British Virgin Islands,VGB,2000,74.753
293,Brunei Darussalam,BRN,2000,74.017
294,Bulgaria,BGR,2000,71.66341463
295,Burkina Faso,BFA,2000,50.808
296,Burundi,BDI,2000,47.617
297,Cabo Verde,CPV,2000,68.117
298,Cambodia,KHM,2000,59.491
299,Cameroon,CMR,2000,53.338
300,Canada,CAN,2000,79.16682927
301,Cayman Islands,CYM,2000,74.378
302,Central African Republic,CAF,2000,46.609
303,Chad,TCD,2000,47.937
304,Channel Islands,CHI,2000,78.8
305,Chile,CHL,2000,77.128
306,China,CHN,2000,72.288
307,Colombia,COL,2000,70.905
308,Comoros,COM,2000,58.941
309,"Congo, Dem. Rep.",COD,2000,51.887
310,"Congo, Rep.",COG,2000,55.371
311,Costa Rica,CRI,2000,77.317
312,Cote d'Ivoire,CIV,2000,51.393
313,Croatia,HRV,2000,72.80780488
314,Cuba,CUB,2000,75.922
315,Curacao,CUW,2000,73.283
316,Cyprus,CYP,2000,77.9
317,Czechia,CZE,2000,74.96829268
318,Denmark,DNK,2000,76.59268293
319,Djibouti,DJI,2000,56.734
320,Dominica,DMA,2000,71.715
321,Dominican Republic,DOM,2000,70.365
322,Ecuador,ECU,2000,72.09
323,"Egypt, Arab Rep.",EGY,2000,67.332
324,El Salvador,SLV,2000,67.711
325,Equatorial Guinea,GNQ,2000,53.395
326,Eritrea,ERI,2000,56.285
327,Estonia,EST,2000,70.41707317
328,Eswatini,SWZ,2000,47.627
329,Ethiopia,ETH,2000,50.88
330,Faroe Islands,FRO,2000,78.41190732
331,Fiji,FJI,2000,66.194
332,Finland,FIN,2000,77.46585366
333,France,FRA,2000,79.05609756
334,French Polynesia,PYF,2000,79
335,Gabon,GAB,2000,61.81
